stop_id,stop_name,stop_code,platform_code,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,zone_id,stop_name_stem,town_name,street_name
328601,Rakowiecka - Sanktuarium,01,,52.205211,20.999071,0,,1,1,Rakowiecka - Sanktuarium,Warszawa,Św. A. Boboli
328602,Rakowiecka - Sanktuarium,02,,52.206381,20.999281,0,,1,1,Rakowiecka - Sanktuarium,Warszawa,Św. A. Boboli
328603,Rakowiecka - Sanktuarium,03,,52.205155,20.9994,0,,1,1,Rakowiecka - Sanktuarium,Warszawa,Św. A. Boboli
328604,Rakowiecka - Sanktuarium,04,,52.205617,20.999336,0,,1,1,Rakowiecka - Sanktuarium,Warszawa,Św. A. Boboli
400102,Pl. Zawiszy,02,,52.224696,20.987462,0,,1,1,Pl. Zawiszy,Warszawa,Al. Jerozolimskie
400103,Pl. Zawiszy,03,,52.225006,20.990644,0,,1,1,Pl. Zawiszy,Warszawa,Al. Jerozolimskie
400104,Pl. Zawiszy,04,,52.224284,20.987951,0,,1,1,Pl. Zawiszy,Warszawa,Grójecka
400105,Pl. Zawiszy,05,,52.225265,20.990511,0,,1,1,Pl. Zawiszy,Warszawa,Al. Jerozolimskie
400106,Pl. Zawiszy,06,,52.225019,20.989793,0,,1,1,Pl. Zawiszy,Warszawa,Al. Jerozolimskie
400107,Pl. Zawiszy,07,,52.223681,20.991333,0,,1,1,Pl. Zawiszy,Warszawa,Koszykowa
400108,Pl. Zawiszy,08,,52.225066,20.989743,0,,1,1,Pl. Zawiszy,Warszawa,Al. Jerozolimskie
400113,Pl. Zawiszy,13,,52.226184,20.987985,0,,1,1,Pl. Zawiszy,Warszawa,Towarowa
400114,Pl. Zawiszy,14,,52.226629,20.987686,0,,1,1,Pl. Zawiszy,Warszawa,Towarowa
400115,Pl. Zawiszy,15,,52.224067,20.989348,0,,1,1,Pl. Zawiszy,Warszawa,Raszyńska
400201,Ochota - Ratusz,01,,52.222508,20.986632,0,,1,1,Ochota - Ratusz,Warszawa,Grójecka
400202,Ochota - Ratusz,02,,52.22282,20.986844,0,,1,1,Ochota - Ratusz,Warszawa,Grójecka
400301,Pl. Narutowicza,01,,52.220396,20.984985,0,,1,1,Pl. Narutowicza,Warszawa,Grójecka
400302,Pl. Narutowicza,02,,52.219183,20.98338,0,,1,1,Pl. Narutowicza,Warszawa,Grójecka
400307,Pl. Narutowicza,07,,52.218734,20.983312,0,,1,1,Pl. Narutowicza,Warszawa,Grójecka
400308,Pl. Narutowicza,08,,52.219008,20.983505,0,,1,1,Pl. Narutowicza,Warszawa,Grójecka
400309,Pl. Narutowicza,09,,52.218801,20.984664,0,,1,1,Pl. Narutowicza,Warszawa,pl. Narutowicza
400310,Pl. Narutowicza,10,,52.218833,20.98461,0,,1,1,Pl. Narutowicza,Warszawa,pl. Narutowicza
400311,Pl. Narutowicza,11,,52.218947,20.984629,0,,1,1,Pl. Narutowicza,Warszawa,pl. Narutowicza
400312,Pl. Narutowicza,12,,52.218968,20.98456,0,,1,1,Pl. Narutowicza,Warszawa,pl. Narutowicza
