stop_id,stop_name,stop_lat,stop_lon,shop_related_count,hospital_related_count,school_related_count,target
328601,Rakowiecka - Sanktuarium,52.205211,20.999071,10,18,13,1
328602,Rakowiecka - Sanktuarium,52.206381,20.999281,10,17,13,1
328603,Rakowiecka - Sanktuarium,52.205155,20.9994,11,18,14,1
328604,Rakowiecka - Sanktuarium,52.205617,20.999336,11,17,14,1
400102,Pl. Zawiszy,52.224696,20.987462,14,19,12,1
400103,Pl. Zawiszy,52.225006,20.990644,15,19,12,1
400104,Pl. Zawiszy,52.224284,20.987951,13,20,12,1
400105,Pl. Zawiszy,52.225265,20.990511,14,20,12,1
400106,Pl. Zawiszy,52.225019,20.989793,12,18,13,1
400107,Pl. Zawiszy,52.223681,20.991333,13,21,11,1
400108,Pl. Zawiszy,52.225066,20.989743,12,18,13,1
400113,Pl. Zawiszy,52.226184,20.987985,13,22,11,1
400114,Pl. Zawiszy,52.226629,20.987686,17,24,12,1
400115,Pl. Zawiszy,52.224067,20.989348,13,18,12,1
400201,Ochota - Ratusz,52.222508,20.986632,12,16,10,1
400202,Ochota - Ratusz,52.22282,20.986844,13,16,11,1
400301,Pl. Narutowicza,52.220396,20.984985,9,17,13,1
400302,Pl. Narutowicza,52.219183,20.98338,12,17,14,1
400307,Pl. Narutowicza,52.218734,20.983312,13,17,14,1
400308,Pl. Narutowicza,52.219008,20.983505,13,16,14,1
400309,Pl. Narutowicza,52.218801,20.984664,13,16,13,1
400310,Pl. Narutowicza,52.218833,20.98461,13,16,13,1
400311,Pl. Narutowicza,52.218947,20.984629,13,16,13,1
400312,Pl. Narutowicza,52.218968,20.98456,13,16,13,1
400313,Pl. Narutowicza,52.218898,20.983553,13,16,14,1
400315,Pl. Narutowicza,52.218107,20.983776,11,17,13,1
400316,Pl. Narutowicza,52.217667,20.982605,12,16,14,1
400401,Och-Teatr,52.214723,20.97996,11,13,17,1
400402,Och-Teatr,52.215146,20.979874,11,13,17,1
400403,Och-Teatr,52.214304,20.979401,9,13,19,1
400404,Och-Teatr,52.214603,20.979609,10,12,19,1
400503,Bitwy Warszawskiej 1920 r.,52.212011,20.97741,14,16,23,1
400504,Bitwy Warszawskiej 1920 r.,52.210316,20.975821,13,18,16,1
